CODIGO;ABRANGENCIA;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
4103014;São Paulo (RM);Lingerie infantil;252;252;1991-01 a 2011-12
1107094;São Paulo (RM);Pá;427;252;1991-01 a 2011-12
4102013;São Paulo (RM);Bermuda/short feminino;427;252;1991-01 a 2011-12
2104002;São Paulo (RM);Vassoura;252;252;1991-01 a 2011-12
1108076;São Paulo (RM);Peixe - acará;252;252;1991-01 a 2011-12
1108053;São Paulo (RM);Peixe - piramutaba;252;252;1991-01 a 2011-12
3101060;São Paulo (RM);Rede;252;252;1991-01 a 2011-12
1108033;São Paulo (RM);Peixe - pargo;252;252;1991-01 a 2011-12
1103027;São Paulo (RM);Quiabo;252;252;1991-01 a 2011-12
4101008;São Paulo (RM);Cueca;427;248;"1991-01 a 1999-07; 2006-07 a 2011-12; 2020-01 a 2026-07"
1106022;São Paulo (RM);Melão;331;248;"1991-01 a 1999-07; 2006-07 a 2011-12; 2020-01 a 2026-07"
1102013;São Paulo (RM);Farinha vitaminada;245;245;1999-08 a 2019-12
8103002;São Paulo (RM);Fotocópia;245;245;1999-08 a 2019-12
8101001;São Paulo (RM);Creche;324;245;1999-08 a 2019-12
1101079;São Paulo (RM);Milho em grão;245;245;1999-08 a 2019-12
5101022;São Paulo (RM);Transporte hidroviário;245;245;1999-08 a 2019-12
1115075;São Paulo (RM);Atum em conserva;324;245;1999-08 a 2019-12
2103008;São Paulo (RM);Material de eletricidade;427;242;"1994-01 a 1999-07; 2012-01 a 2026-07"
1115016;São Paulo (RM);Palmito em conserva;427;241;2006-07 a 2026-07
1106084;São Paulo (RM);Goiaba;324;241;2006-07 a 2026-07
1109088;São Paulo (RM);Hambúrguer;324;241;2006-07 a 2026-07
1111012;São Paulo (RM);Creme de leite;324;241;2006-07 a 2026-07
1108004;São Paulo (RM);Peixe - corvina;427;241;2006-07 a 2026-07
7101034;São Paulo (RM);Cartório;324;241;2006-07 a 2026-07
6201005;São Paulo (RM);Aparelho ortodôntico;427;241;2006-07 a 2026-07
1102001;São Paulo (RM);Farinha de arroz;324;241;2006-07 a 2026-07
1111051;São Paulo (RM);Leite com sabor;241;241;2006-07 a 2026-07
1102010;São Paulo (RM);Flocos de milho;324;241;2006-07 a 2026-07
1116048;São Paulo (RM);Caldo concentrado;324;241;2006-07 a 2026-07
3301015;São Paulo (RM);Conserto de máquina de lavar roupa;324;241;2006-07 a 2026-07
1102008;São Paulo (RM);Fubá de milho;427;241;2006-07 a 2026-07
1116013;São Paulo (RM);Sal;427;241;2006-07 a 2026-07
1114087;São Paulo (RM);Vinho;265;229;"1994-01 a 2006-06; 2020-01 a 2026-07"
5102013;São Paulo (RM);Estacionamento;331;229;"1994-01 a 2006-06; 2020-01 a 2026-07"
1115013;São Paulo (RM);Alimento infantil;228;228;"1999-08 a 2011-12; 2020-01 a 2026-07"
2103031;São Paulo (RM);Ferramentas;228;228;"1999-08 a 2011-12; 2020-01 a 2026-07"
7201067;São Paulo (RM);Material de caça e pesca;228;228;"1999-08 a 2011-12; 2020-01 a 2026-07"
3201002;São Paulo (RM);Ar-condicionado;228;228;"1999-08 a 2011-12; 2020-01 a 2026-07"
1115004;São Paulo (RM);Coco ralado;348;199;"1991-01 a 1999-07; 2012-01 a 2019-12"
5101026;São Paulo (RM);Transporte escolar;427;186;1991-01 a 2006-06
4102009;São Paulo (RM);Meia feminina;186;186;1991-01 a 2006-06
