CODIGO;ABRANGENCIA;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
3102004;São Paulo (RM);Relógio despertador;83;83;1999-08 a 2006-06
1201050;São Paulo (RM);Aguardente;83;83;1999-08 a 2006-06
2101008;São Paulo (RM);Compra de água;83;83;1999-08 a 2006-06
3102015;São Paulo (RM);Mamadeira;83;83;1999-08 a 2006-06
3102016;São Paulo (RM);Bujão de gás vazio;83;83;1999-08 a 2006-06
2103012;São Paulo (RM);Material de vidro;186;83;1999-08 a 2006-06
8101024;São Paulo (RM);Livro e revista técnica;83;83;1999-08 a 2006-06
1107060;São Paulo (RM);Bife rolé;83;83;1999-08 a 2006-06
1106097;São Paulo (RM);Cupuaçú;83;83;1999-08 a 2006-06
1106026;São Paulo (RM);Acerola;83;83;1999-08 a 2006-06
1110014;São Paulo (RM);Asa de frango;83;83;1999-08 a 2006-06
1104069;São Paulo (RM);Adoçante artificial;83;83;1999-08 a 2006-06
1104064;São Paulo (RM);Pamonha;83;83;1999-08 a 2006-06
1104059;São Paulo (RM);Doce de frutas em calda;83;83;1999-08 a 2006-06
1104031;São Paulo (RM);Mel de abelha;83;83;1999-08 a 2006-06
1108065;São Paulo (RM);Ostra;83;83;1999-08 a 2006-06
3301024;São Paulo (RM);Manutenção de caixa d'água, fossa, etc.;83;83;1999-08 a 2006-06
4101013;São Paulo (RM);Paletó e blazer;83;83;1999-08 a 2006-06
4101011;São Paulo (RM);Meia masculina;83;83;1999-08 a 2006-06
8102004;São Paulo (RM);Revista;324;79;2020-01 a 2026-07
8104004;São Paulo (RM);Curso de informática;241;79;2020-01 a 2026-07
1108023;São Paulo (RM);Peixe - atum;79;79;2020-01 a 2026-07
3301022;São Paulo (RM);Reforma de estofado;324;79;2020-01 a 2026-07
1111021;São Paulo (RM);Requeijão;162;79;2020-01 a 2026-07
1103025;São Paulo (RM);Pepino;265;79;2020-01 a 2026-07
1102012;São Paulo (RM);Farinha de trigo;427;79;2020-01 a 2026-07
1108012;São Paulo (RM);Peixe - sardinha;427;79;2020-01 a 2026-07
1107208;São Paulo (RM);Picanha;79;79;2020-01 a 2026-07
6101148;São Paulo (RM);Neurológico;79;79;2020-01 a 2026-07
1108092;São Paulo (RM);Peixe - filhote;79;79;2020-01 a 2026-07
4301001;São Paulo (RM);Bijuteria;324;79;2020-01 a 2026-07
4201040;São Paulo (RM);Mochila;79;79;2020-01 a 2026-07
4401002;São Paulo (RM);Artigos de armarinho;427;79;2020-01 a 2026-07
1104067;São Paulo (RM);Açúcar demerara;79;79;2020-01 a 2026-07
5102051;São Paulo (RM);Aluguel de veículo;79;79;2020-01 a 2026-07
3301006;São Paulo (RM);Conserto de televisor;241;79;2020-01 a 2026-07
3202003;São Paulo (RM);Aparelho de som;427;79;2020-01 a 2026-07
1114091;São Paulo (RM);Chá mate (erva mate);79;79;2020-01 a 2026-07
4201015;São Paulo (RM);Bolsa;427;79;2020-01 a 2026-07
2104016;São Paulo (RM);Esponja de limpeza;427;79;2020-01 a 2026-07
2104015;São Paulo (RM);Sabão em barra;324;79;2020-01 a 2026-07
2103055;São Paulo (RM);Telha;175;79;2020-01 a 2026-07
2104003;São Paulo (RM);Saco para lixo;79;79;2020-01 a 2026-07
2103038;São Paulo (RM);Madeira e taco;79;79;2020-01 a 2026-07
8102001;São Paulo (RM);Jornal diário;324;79;2020-01 a 2026-07
2104019;São Paulo (RM);Sabão líquido;79;79;2020-01 a 2026-07
2104020;São Paulo (RM);Limpador multiuso;162;79;2020-01 a 2026-07
3101016;São Paulo (RM);Móvel infantil;175;79;2020-01 a 2026-07
1114003;São Paulo (RM);Polpa de fruta (congelada);79;79;2020-01 a 2026-07
3103003;São Paulo (RM);Roupa de banho;427;79;2020-01 a 2026-07
3102337;São Paulo (RM);Utensílios para bebê;79;79;2020-01 a 2026-07
1108087;Brasil;Peixe - tambaqui;175;76;2012-01 a 2018-04
1108054;Brasil;Peixe - piau;96;76;2012-01 a 2018-04
1101075;Brasil;Feijão - branco;96;76;2012-01 a 2018-04
1108072;Brasil;Peixe - curimatã;278;76;2012-01 a 2018-04
1108009;Brasil;Peixe - pescadinha;282;76;2012-01 a 2018-04
1108011;Brasil;Peixe - tainha;348;76;2012-01 a 2018-04
1115016;Brasil;Palmito em conserva;427;76;2012-01 a 2018-04
1108099;Brasil;Mariscos;103;67;1994-01 a 1999-07
6101011;Brasil;Hormonal;427;67;1994-01 a 1999-07
6301001;São Paulo (RM);Produto para cabelo;427;67;1994-01 a 1999-07
2104045;São Paulo (RM);Filtro de papel para café;103;67;1994-01 a 1999-07
6301015;São Paulo (RM);Absorvente higiênico;427;67;1994-01 a 1999-07
1102016;Brasil;Flocos de cereais;252;67;1994-01 a 1999-07
1102009;Brasil;Amido de milho;348;67;1994-01 a 1999-07
7201083;Brasil;Material esportivo;331;67;1994-01 a 1999-07
7202045;Brasil;Fósforos;103;67;1994-01 a 1999-07
7301020;Brasil;Livros e revistas técnicas;103;67;1994-01 a 1999-07
2104045;Brasil;Filtro de papel para café;103;67;1994-01 a 1999-07
3201050;Brasil;Chuveiro elétrico;361;67;1994-01 a 1999-07
2201003;Brasil;Carvão vegetal;427;67;1994-01 a 1999-07
6101008;Brasil;Anti-hemorrágicos e antianêmicos;103;67;1994-01 a 1999-07
5201004;São Paulo (RM);Telefone público;103;67;1994-01 a 1999-07
1108051;Brasil;Peixe - traíra;186;67;1994-01 a 1999-07
4102011;Brasil;Roupa de dormir feminina;348;67;1994-01 a 1999-07
4201028;Brasil;Guarda-chuva;103;67;1994-01 a 1999-07
4101006;São Paulo (RM);Bermuda/short masculino;427;67;1994-01 a 1999-07
6301015;Brasil;Absorvente higiênico;427;67;1994-01 a 1999-07
1107085;Brasil;Filé-mignon;361;67;1994-01 a 1999-07
1108021;Brasil;Peixe - galo;169;67;1994-01 a 1999-07
7201001;São Paulo (RM);Cinema;348;66;2006-07 a 2011-12
8104006;São Paulo (RM);Atividades físicas;241;66;2006-07 a 2011-12
7101036;São Paulo (RM);Despachante;324;66;2006-07 a 2011-12
6201008;São Paulo (RM);Tratamento psicológico e fisioterápico;149;66;2006-07 a 2011-12
6201006;São Paulo (RM);Artigos ortopédicos;66;66;2006-07 a 2011-12
8104009;São Paulo (RM);Escolinha de esporte;66;66;2006-07 a 2011-12
3201007;São Paulo (RM);Ferro elétrico;348;66;2006-07 a 2011-12
1116033;São Paulo (RM);Maionese;427;66;2006-07 a 2011-12
2104014;São Paulo (RM);Cera para assoalho;252;66;2006-07 a 2011-12
2103022;São Paulo (RM);Vitrificação (sinteco, poliuretano);66;66;2006-07 a 2011-12
3201003;São Paulo (RM);Máquina de costura;252;66;2006-07 a 2011-12
8101004;São Paulo (RM);Ensino médio;324;66;2006-07 a 2011-12
7201008;São Paulo (RM);Disco laser;252;66;2006-07 a 2011-12
6301014;São Paulo (RM);Desodorante;427;66;2006-07 a 2011-12
1108022;São Paulo (RM);Peixe - manjuba;66;66;2006-07 a 2011-12
4103031;São Paulo (RM);Conjunto infantil;324;66;2006-07 a 2011-12
1108050;São Paulo (RM);Peixe - pratiqueira (parati);66;66;2006-07 a 2011-12
1106028;São Paulo (RM);Uva;427;66;2006-07 a 2011-12
7101008;São Paulo (RM);Barbeiro;252;66;2006-07 a 2011-12
5102006;São Paulo (RM);Multa;241;66;2006-07 a 2011-12
1104032;São Paulo (RM);Sorvete;324;66;2006-07 a 2011-12
1113020;São Paulo (RM);Banha de porco;66;66;2006-07 a 2011-12
3301023;São Paulo (RM);Conserto de bomba d'água;149;66;2006-07 a 2011-12
1105012;São Paulo (RM);Cheiro-verde;427;66;2006-07 a 2011-12
6101050;São Paulo (RM);Preservativo masculino;66;66;2006-07 a 2011-12
1104028;São Paulo (RM);Gelatina;149;66;2006-07 a 2011-12
1115004;Brasil;Coco ralado;348;36;1991-01 a 1993-12
3102014;Brasil;Copo de vidro;186;36;1991-01 a 1993-12
2101003;São Paulo (RM);Imposto predial;186;36;1991-01 a 1993-12
3201042;Brasil;Ozonizador;186;36;1991-01 a 1993-12
3201064;Brasil;Tanque elétrico para roupa;103;36;1991-01 a 1993-12
2101012;Brasil;Mudança;361;36;1991-01 a 1993-12
1115058;Brasil;Milho-verde em conserva;427;36;1991-01 a 1993-12
3102007;São Paulo (RM);Utensílios de metal;427;36;1991-01 a 1993-12
2101003;Brasil;Imposto predial;186;36;1991-01 a 1993-12
2104008;São Paulo (RM);Detergente;427;36;1991-01 a 1993-12
1104024;Brasil;Bombom;186;36;1991-01 a 1993-12
3102024;Brasil;Outros utensílios de metal;103;36;1991-01 a 1993-12
1112012;Brasil;Pão de milho;186;36;1991-01 a 1993-12
6301007;São Paulo (RM);Produto para higiene bucal;427;36;1991-01 a 1993-12
1104024;São Paulo (RM);Bombom;186;36;1991-01 a 1993-12
4201006;Brasil;Sandália / chinelo masculino;348;36;1991-01 a 1993-12
6101006;São Paulo (RM);Dermatológico;427;36;1991-01 a 1993-12
4103024;Brasil;Saia infantil;169;36;1991-01 a 1993-12
4102009;Brasil;Meia feminina;186;36;1991-01 a 1993-12
4201008;Brasil;Sandália / chinelo infantil;348;36;1991-01 a 1993-12
1108044;Brasil;Peixe cioba;103;36;1991-01 a 1993-12
6101007;Brasil;Antialérgico e broncodilatador;427;36;1991-01 a 1993-12
6101007;São Paulo (RM);Antialérgico e broncodilatador;427;36;1991-01 a 1993-12
2103049;Brasil;Pedras;175;24;2012-01 a 2013-12
1108112;Brasil;Peixe - pintado;96;24;2012-01 a 2013-12
1108028;Brasil;Peixe - dourado;179;24;2012-01 a 2013-12
1106012;Brasil;Laranja - lima;282;24;2012-01 a 2013-12
1105013;Brasil;Agrião;348;24;2012-01 a 2013-12
7101014;Brasil;Depilação;175;24;2012-01 a 2013-12
