CODIGO;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
1108003;Peixe badejo;198;198;"1991-01 a 1991-07; 1991-09 a 1999-07; 2012-01 a 2019-12"
1107008;Vísceras de boi;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1101068;Feijão - roxo;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1103002;Batata-doce;261;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1106013;Laranja seleta;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1105017;Almeirão;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1108001;Filé de peixe;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1101064;Feijão - jalo (enxofrão);185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1102022;Fécula de mandioca;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1108044;Peixe cioba;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1116062;Pimenta-do-reino;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1116055;Cominho;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1201032;Caldos;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1109024;Camarão seco salgado;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1108064;Siri;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
2104014;Cera e lustra-móveis;251;184;"1991-01 a 1991-07; 1991-09 a 1993-12; 1999-08 a 2011-12"
1102009;Amido de milho;179;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
1108028;Peixe - dourado;179;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
1105013;Agrião;281;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
1114085;Outras bebidas alcoólicas;423;178;"1991-01 a 1991-07; 1991-09 a 1999-07; 2020-01 a 2026-04"
1115056;Sopas desidratadas;423;178;"1991-01 a 1991-07; 1991-09 a 1999-07; 2020-01 a 2026-04"
1109023;Bacalhau;327;177;"1991-01 a 1991-07; 1991-09 a 1993-12; 2006-07 a 2011-12; 2020-01 a 2026-04"
1108096;Peixe - peroá;172;172;2012-01 a 2026-04
1201051;Outras bebidas alcoólicas;423;172;2012-01 a 2026-04
2103055;Telha;172;172;2012-01 a 2026-04
1106051;Morango;255;172;2012-01 a 2026-04
1105006;Couve-flor;423;172;2012-01 a 2026-04
1102010;Flocos de milho;255;172;2012-01 a 2026-04
1104018;Balas, chicletes, etc.;357;172;2012-01 a 2026-04
1108112;Peixe - pintado;172;172;2012-01 a 2026-04
1108049;Peixe - castanha;172;172;2012-01 a 2026-04
1108087;Peixe - tambaqui;172;172;2012-01 a 2026-04
1108072;Peixe - curimatã;172;172;2012-01 a 2026-04
1108053;Peixe piramutaba;168;168;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2011-12"
2104002;Vassoura, rodo, etc;251;168;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2011-12"
1102023;Farinha de mandioca;423;162;2006-07 a 2019-12
1108006;Peixe;162;162;2006-07 a 2019-12
1115006;Ervilha em conserva;347;162;2006-07 a 2019-12
1115053;Patê;162;162;2006-07 a 2019-12
2103009;Material de pintura;347;162;2006-07 a 2019-12
1101079;Milho (em grão);159;159;"1999-08 a 2006-06; 2020-01 a 2026-04"
1106012;Laranja lima;261;159;"1999-08 a 2006-06; 2020-01 a 2026-04"
1116023;Caldo de tucupi;159;159;"1999-08 a 2006-06; 2020-01 a 2026-04"
1115013;Alimento infantil;159;159;"1999-08 a 2006-06; 2020-01 a 2026-04"
2104003;Saco para lixo;159;159;"1999-08 a 2006-06; 2020-01 a 2026-04"
1108092;Peixe - filhote;159;159;"1999-08 a 2006-06; 2020-01 a 2026-04"
1115008;Feijoada em conserva;149;149;1999-08 a 2011-12
1111051;Leite com sabor;149;149;1999-08 a 2011-12
2104020;Limpador multiuso;225;149;1999-08 a 2011-12
2103031;Ferramentas;149;149;1999-08 a 2011-12
2103005;Ferragens;423;142;"2006-07 a 2011-12; 2020-01 a 2026-04"
2103049;Pedras;142;142;"2006-07 a 2011-12; 2020-01 a 2026-04"
2103040;Tijolo;238;142;"2006-07 a 2011-12; 2020-01 a 2026-04"
1106022;Melão;327;142;"2006-07 a 2011-12; 2020-01 a 2026-04"
1108012;Peixe sardinha;423;142;"2006-07 a 2011-12; 2020-01 a 2026-04"
1106003;Abacaxi;423;142;"2006-07 a 2011-12; 2020-01 a 2026-04"
1108099;Mariscos;102;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1112019;Bolo;423;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1112018;Pão de forma;423;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1114001;Suco de frutas;423;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1102016;Flocos de cereais;185;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1103042;Beterraba;185;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
2201005;Gás encanado;423;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1201005;Café da manhã;347;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1108059;Peixe xaréu;102;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
1106041;Banana-marmelo;102;102;"1991-01 a 1991-07; 1991-09 a 1999-07"
