"Tabela 651 - INPC - Variação acumulada no ano, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de agosto/1999 até junho/2006)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Variável";"Mês";"Geral, grupo, subgrupo, item e subitem";""
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104004.Açúcar cristal";"-5,63";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104014.Rapadura";"-0,82";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104018.Balas, chicletes, etc.";"4,41";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104023.Chocolate em barra";"7,32";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104024.Bombom";"5,48";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104028.Gelatina de frutas em pó";"2,40";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104031.Mel de abelha";"1,55";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104032.Sorvete";"0,58";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104052.Achocolatado em pó";"6,38";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104059.Doce de frutas em calda";"8,84";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104060.Doce de frutas em pasta";"7,75";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104064.Pamonha";"0,43";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104066.Doce de leite";"-1,96";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104069.Adoçante artificial";"0,00";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1104079.Mistura para doces";"6,18";"%"
