"Tabela 2951 - INPC - Variação mensal, acumulada no ano e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de julho/2006 até dezembro/2011)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Variável";"Mês";"Geral, grupo, subgrupo, item e subitem";""
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106005.Banana - d'água";"12,41";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106006.Banana - maçã";"0,55";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106008.Banana - prata";"3,84";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106017.Maçã";"1,61";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106018.Mamão";"29,78";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106019.Manga";"15,41";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106020.Maracujá";"8,33";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106021.Melancia";"8,47";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106022.Melão";"8,99";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106023.Pera";"6,21";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106027.Tangerina";"1,38";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106028.Uva";"24,17";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106039.Laranja - pera";"-7,74";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1106084.Goiaba";"-2,42";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107.Carnes";"0,04";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107008.Tripa e bucho";"-0,88";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107009.Fígado";"-2,59";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107010.Outras vísceras";"1,28";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107018.Carne de porco";"-1,95";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107084.Contrafilé";"-0,31";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107087.Chã de dentro";"0,00";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107088.Alcatra";"0,08";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107089.Patinho";"0,97";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107090.Lagarto redondo";"-3,58";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107091.Lagarto plano";"-0,32";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107093.Músculo";"3,33";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107094.Pá";"2,74";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107095.Acém";"0,67";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107096.Peito";"-0,23";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107097.Capa de filé";"0,58";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1107099.Costela";"-0,75";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108.Pescados";"-4,87";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108004.Peixe - corvina";"-6,65";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108005.Peixe - cavalinha";"-3,44";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108006.Peixe";"-1,90";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108011.Peixe - tainha";"-0,42";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108012.Peixe - sardinha";"-7,71";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108013.Camarão";"-3,62";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108016.Peixe - bagre";"0,76";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108019.Peixe - cavala";"4,09";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108021.Peixe - galo";"3,01";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108022.Peixe - manjuba";"-9,66";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108032.Peixe - serra";"-0,05";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108033.Peixe - pargo";"4,96";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108038.Peixe - pescada";"-7,05";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108045.Caranguejo";"-3,50";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1108050.Peixe - pratiqueira (parati)";"-15,25";"%"
