"Tabela 7063 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Geral, grupo, subgrupo, item e subitem";"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Variável";""
"1114004.Açaí (emulsão)";"BR";"1";"Brasil";"maio 2026";"INPC - Variação mensal";"-5,13";"%"
"1114004.Açaí (emulsão)";"BR";"1";"Brasil";"junho 2026";"INPC - Variação mensal";"-13,69";"%"
"1114004.Açaí (emulsão)";"BR";"1";"Brasil";"julho 2026";"INPC - Variação mensal";"-12,39";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"janeiro 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"fevereiro 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"março 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"abril 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"maio 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"junho 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"julho 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"agosto 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"setembro 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"outubro 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"novembro 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"dezembro 2020";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"janeiro 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"fevereiro 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"março 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"abril 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"maio 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"junho 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"julho 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"agosto 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"setembro 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"outubro 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"novembro 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"dezembro 2021";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"janeiro 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"fevereiro 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"março 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"abril 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"maio 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"junho 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"julho 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"agosto 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"setembro 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"outubro 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"novembro 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"dezembro 2022";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"janeiro 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"fevereiro 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"março 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"abril 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"maio 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"junho 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"julho 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"agosto 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"setembro 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"outubro 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"novembro 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"dezembro 2023";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"janeiro 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"fevereiro 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"março 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"abril 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"maio 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"junho 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"julho 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"agosto 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"setembro 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"outubro 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"novembro 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"dezembro 2024";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"janeiro 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"fevereiro 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"março 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"abril 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"maio 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"junho 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"julho 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"agosto 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"setembro 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"outubro 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"novembro 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"dezembro 2025";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"janeiro 2026";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"fevereiro 2026";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"março 2026";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"abril 2026";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"maio 2026";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"junho 2026";"INPC - Variação mensal";"-";"%"
"1114004.Açaí (emulsão)";"RM";"3501";"São Paulo (SP)";"julho 2026";"INPC - Variação mensal";"-";"%"
"1114022.Café moído";"BR";"1";"Brasil";"janeiro 2020";"INPC - Variação mensal";"-0,17";"%"
"1114022.Café moído";"BR";"1";"Brasil";"fevereiro 2020";"INPC - Variação mensal";"-0,38";"%"
"1114022.Café moído";"BR";"1";"Brasil";"março 2020";"INPC - Variação mensal";"1,21";"%"
"1114022.Café moído";"BR";"1";"Brasil";"abril 2020";"INPC - Variação mensal";"1,24";"%"
"1114022.Café moído";"BR";"1";"Brasil";"maio 2020";"INPC - Variação mensal";"1,03";"%"
"1114022.Café moído";"BR";"1";"Brasil";"junho 2020";"INPC - Variação mensal";"0,36";"%"
"1114022.Café moído";"BR";"1";"Brasil";"julho 2020";"INPC - Variação mensal";"0,61";"%"
"1114022.Café moído";"BR";"1";"Brasil";"agosto 2020";"INPC - Variação mensal";"-0,61";"%"
"1114022.Café moído";"BR";"1";"Brasil";"setembro 2020";"INPC - Variação mensal";"0,58";"%"
"1114022.Café moído";"BR";"1";"Brasil";"outubro 2020";"INPC - Variação mensal";"-0,06";"%"
"1114022.Café moído";"BR";"1";"Brasil";"novembro 2020";"INPC - Variação mensal";"1,72";"%"
"1114022.Café moído";"BR";"1";"Brasil";"dezembro 2020";"INPC - Variação mensal";"1,68";"%"
"1114022.Café moído";"BR";"1";"Brasil";"janeiro 2021";"INPC - Variação mensal";"0,39";"%"
"1114022.Café moído";"BR";"1";"Brasil";"fevereiro 2021";"INPC - Variação mensal";"-0,20";"%"
"1114022.Café moído";"BR";"1";"Brasil";"março 2021";"INPC - Variação mensal";"0,74";"%"
"1114022.Café moído";"BR";"1";"Brasil";"abril 2021";"INPC - Variação mensal";"0,81";"%"
"1114022.Café moído";"BR";"1";"Brasil";"maio 2021";"INPC - Variação mensal";"1,53";"%"
"1114022.Café moído";"BR";"1";"Brasil";"junho 2021";"INPC - Variação mensal";"3,53";"%"
"1114022.Café moído";"BR";"1";"Brasil";"julho 2021";"INPC - Variação mensal";"2,53";"%"
"1114022.Café moído";"BR";"1";"Brasil";"agosto 2021";"INPC - Variação mensal";"7,53";"%"
"1114022.Café moído";"BR";"1";"Brasil";"setembro 2021";"INPC - Variação mensal";"5,67";"%"
"1114022.Café moído";"BR";"1";"Brasil";"outubro 2021";"INPC - Variação mensal";"4,38";"%"
"1114022.Café moído";"BR";"1";"Brasil";"novembro 2021";"INPC - Variação mensal";"7,04";"%"
"1114022.Café moído";"BR";"1";"Brasil";"dezembro 2021";"INPC - Variação mensal";"8,09";"%"
"1114022.Café moído";"BR";"1";"Brasil";"janeiro 2022";"INPC - Variação mensal";"4,80";"%"
"1114022.Café moído";"BR";"1";"Brasil";"fevereiro 2022";"INPC - Variação mensal";"2,58";"%"
"1114022.Café moído";"BR";"1";"Brasil";"março 2022";"INPC - Variação mensal";"2,85";"%"
"1114022.Café moído";"BR";"1";"Brasil";"abril 2022";"INPC - Variação mensal";"2,42";"%"
"1114022.Café moído";"BR";"1";"Brasil";"maio 2022";"INPC - Variação mensal";"1,22";"%"
"1114022.Café moído";"BR";"1";"Brasil";"junho 2022";"INPC - Variação mensal";"0,32";"%"
"1114022.Café moído";"BR";"1";"Brasil";"julho 2022";"INPC - Variação mensal";"0,26";"%"
"1114022.Café moído";"BR";"1";"Brasil";"agosto 2022";"INPC - Variação mensal";"-0,43";"%"
"1114022.Café moído";"BR";"1";"Brasil";"setembro 2022";"INPC - Variação mensal";"-0,84";"%"
"1114022.Café moído";"BR";"1";"Brasil";"outubro 2022";"INPC - Variação mensal";"0,21";"%"
"1114022.Café moído";"BR";"1";"Brasil";"novembro 2022";"INPC - Variação mensal";"-0,06";"%"
"1114022.Café moído";"BR";"1";"Brasil";"dezembro 2022";"INPC - Variação mensal";"-0,28";"%"
"1114022.Café moído";"BR";"1";"Brasil";"janeiro 2023";"INPC - Variação mensal";"0,14";"%"
"1114022.Café moído";"BR";"1";"Brasil";"fevereiro 2023";"INPC - Variação mensal";"-0,87";"%"
"1114022.Café moído";"BR";"1";"Brasil";"março 2023";"INPC - Variação mensal";"-1,33";"%"
"1114022.Café moído";"BR";"1";"Brasil";"abril 2023";"INPC - Variação mensal";"-0,64";"%"
"1114022.Café moído";"BR";"1";"Brasil";"maio 2023";"INPC - Variação mensal";"-0,69";"%"
"1114022.Café moído";"BR";"1";"Brasil";"junho 2023";"INPC - Variação mensal";"-0,06";"%"
"1114022.Café moído";"BR";"1";"Brasil";"julho 2023";"INPC - Variação mensal";"-1,55";"%"
"1114022.Café moído";"BR";"1";"Brasil";"agosto 2023";"INPC - Variação mensal";"-1,30";"%"
"1114022.Café moído";"BR";"1";"Brasil";"setembro 2023";"INPC - Variação mensal";"-1,13";"%"
"1114022.Café moído";"BR";"1";"Brasil";"outubro 2023";"INPC - Variação mensal";"-1,24";"%"
"1114022.Café moído";"BR";"1";"Brasil";"novembro 2023";"INPC - Variação mensal";"-0,42";"%"
"1114022.Café moído";"BR";"1";"Brasil";"dezembro 2023";"INPC - Variação mensal";"-0,33";"%"
"1114022.Café moído";"BR";"1";"Brasil";"janeiro 2024";"INPC - Variação mensal";"0,96";"%"
"1114022.Café moído";"BR";"1";"Brasil";"fevereiro 2024";"INPC - Variação mensal";"0,28";"%"
"1114022.Café moído";"BR";"1";"Brasil";"março 2024";"INPC - Variação mensal";"1,25";"%"
"1114022.Café moído";"BR";"1";"Brasil";"abril 2024";"INPC - Variação mensal";"3,13";"%"
"1114022.Café moído";"BR";"1";"Brasil";"maio 2024";"INPC - Variação mensal";"3,39";"%"
"1114022.Café moído";"BR";"1";"Brasil";"junho 2024";"INPC - Variação mensal";"3,09";"%"
"1114022.Café moído";"BR";"1";"Brasil";"julho 2024";"INPC - Variação mensal";"3,32";"%"
"1114022.Café moído";"BR";"1";"Brasil";"agosto 2024";"INPC - Variação mensal";"3,77";"%"
"1114022.Café moído";"BR";"1";"Brasil";"setembro 2024";"INPC - Variação mensal";"3,87";"%"
"1114022.Café moído";"BR";"1";"Brasil";"outubro 2024";"INPC - Variação mensal";"4,07";"%"
"1114022.Café moído";"BR";"1";"Brasil";"novembro 2024";"INPC - Variação mensal";"2,27";"%"
"1114022.Café moído";"BR";"1";"Brasil";"dezembro 2024";"INPC - Variação mensal";"4,84";"%"
"1114022.Café moído";"BR";"1";"Brasil";"janeiro 2025";"INPC - Variação mensal";"8,48";"%"
"1114022.Café moído";"BR";"1";"Brasil";"fevereiro 2025";"INPC - Variação mensal";"11,03";"%"
"1114022.Café moído";"BR";"1";"Brasil";"março 2025";"INPC - Variação mensal";"8,29";"%"
"1114022.Café moído";"BR";"1";"Brasil";"abril 2025";"INPC - Variação mensal";"4,53";"%"
"1114022.Café moído";"BR";"1";"Brasil";"maio 2025";"INPC - Variação mensal";"4,42";"%"
"1114022.Café moído";"BR";"1";"Brasil";"junho 2025";"INPC - Variação mensal";"0,56";"%"
"1114022.Café moído";"BR";"1";"Brasil";"julho 2025";"INPC - Variação mensal";"-0,89";"%"
"1114022.Café moído";"BR";"1";"Brasil";"agosto 2025";"INPC - Variação mensal";"-2,17";"%"
"1114022.Café moído";"BR";"1";"Brasil";"setembro 2025";"INPC - Variação mensal";"-0,05";"%"
"1114022.Café moído";"BR";"1";"Brasil";"outubro 2025";"INPC - Variação mensal";"-0,32";"%"
"1114022.Café moído";"BR";"1";"Brasil";"novembro 2025";"INPC - Variação mensal";"-1,33";"%"
"1114022.Café moído";"BR";"1";"Brasil";"dezembro 2025";"INPC - Variação mensal";"-0,20";"%"
"1114022.Café moído";"BR";"1";"Brasil";"janeiro 2026";"INPC - Variação mensal";"-1,21";"%"
"1114022.Café moído";"BR";"1";"Brasil";"fevereiro 2026";"INPC - Variação mensal";"-1,12";"%"
"1114022.Café moído";"BR";"1";"Brasil";"março 2026";"INPC - Variação mensal";"-1,25";"%"
"1114022.Café moído";"BR";"1";"Brasil";"abril 2026";"INPC - Variação mensal";"-2,18";"%"
"1114022.Café moído";"BR";"1";"Brasil";"maio 2026";"INPC - Variação mensal";"-2,36";"%"
"1114022.Café moído";"BR";"1";"Brasil";"junho 2026";"INPC - Variação mensal";"-3,73";"%"
"1114022.Café moído";"BR";"1";"Brasil";"julho 2026";"INPC - Variação mensal";"-2,34";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"janeiro 2020";"INPC - Variação mensal";"-0,53";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"fevereiro 2020";"INPC - Variação mensal";"-0,43";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"março 2020";"INPC - Variação mensal";"0,68";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"abril 2020";"INPC - Variação mensal";"1,35";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"maio 2020";"INPC - Variação mensal";"0,48";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"junho 2020";"INPC - Variação mensal";"1,66";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"julho 2020";"INPC - Variação mensal";"0,76";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"agosto 2020";"INPC - Variação mensal";"0,48";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"setembro 2020";"INPC - Variação mensal";"1,32";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"outubro 2020";"INPC - Variação mensal";"-0,58";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"novembro 2020";"INPC - Variação mensal";"0,65";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"dezembro 2020";"INPC - Variação mensal";"3,43";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"janeiro 2021";"INPC - Variação mensal";"0,47";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"fevereiro 2021";"INPC - Variação mensal";"-1,36";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"março 2021";"INPC - Variação mensal";"0,54";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"abril 2021";"INPC - Variação mensal";"0,86";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"maio 2021";"INPC - Variação mensal";"1,47";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"junho 2021";"INPC - Variação mensal";"3,08";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"julho 2021";"INPC - Variação mensal";"3,57";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"agosto 2021";"INPC - Variação mensal";"7,39";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"setembro 2021";"INPC - Variação mensal";"4,73";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"outubro 2021";"INPC - Variação mensal";"6,18";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"novembro 2021";"INPC - Variação mensal";"8,62";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"dezembro 2021";"INPC - Variação mensal";"9,77";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"janeiro 2022";"INPC - Variação mensal";"3,72";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"fevereiro 2022";"INPC - Variação mensal";"2,53";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"março 2022";"INPC - Variação mensal";"3,01";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"abril 2022";"INPC - Variação mensal";"3,55";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"maio 2022";"INPC - Variação mensal";"1,49";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"junho 2022";"INPC - Variação mensal";"-0,41";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"julho 2022";"INPC - Variação mensal";"1,17";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"agosto 2022";"INPC - Variação mensal";"-0,89";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"setembro 2022";"INPC - Variação mensal";"0,31";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"outubro 2022";"INPC - Variação mensal";"0,51";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"novembro 2022";"INPC - Variação mensal";"-0,71";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"dezembro 2022";"INPC - Variação mensal";"1,02";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"janeiro 2023";"INPC - Variação mensal";"0,08";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"fevereiro 2023";"INPC - Variação mensal";"-0,84";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"março 2023";"INPC - Variação mensal";"-2,31";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"abril 2023";"INPC - Variação mensal";"0,17";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"maio 2023";"INPC - Variação mensal";"-0,07";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"junho 2023";"INPC - Variação mensal";"0,72";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"julho 2023";"INPC - Variação mensal";"-2,06";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"agosto 2023";"INPC - Variação mensal";"-2,71";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"setembro 2023";"INPC - Variação mensal";"-1,09";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"outubro 2023";"INPC - Variação mensal";"-1,08";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"novembro 2023";"INPC - Variação mensal";"0,74";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"dezembro 2023";"INPC - Variação mensal";"-0,06";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"janeiro 2024";"INPC - Variação mensal";"0,60";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"fevereiro 2024";"INPC - Variação mensal";"-1,82";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"março 2024";"INPC - Variação mensal";"1,33";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"abril 2024";"INPC - Variação mensal";"2,94";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"maio 2024";"INPC - Variação mensal";"2,69";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"junho 2024";"INPC - Variação mensal";"2,46";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"julho 2024";"INPC - Variação mensal";"2,73";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"agosto 2024";"INPC - Variação mensal";"2,97";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"setembro 2024";"INPC - Variação mensal";"1,03";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"outubro 2024";"INPC - Variação mensal";"4,64";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"novembro 2024";"INPC - Variação mensal";"3,78";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"dezembro 2024";"INPC - Variação mensal";"5,49";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"janeiro 2025";"INPC - Variação mensal";"8,80";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"fevereiro 2025";"INPC - Variação mensal";"6,29";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"março 2025";"INPC - Variação mensal";"5,98";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"abril 2025";"INPC - Variação mensal";"4,74";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"maio 2025";"INPC - Variação mensal";"7,26";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"junho 2025";"INPC - Variação mensal";"2,43";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"julho 2025";"INPC - Variação mensal";"-0,16";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"agosto 2025";"INPC - Variação mensal";"-1,54";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"setembro 2025";"INPC - Variação mensal";"-0,70";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"outubro 2025";"INPC - Variação mensal";"-0,20";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"novembro 2025";"INPC - Variação mensal";"-1,78";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"dezembro 2025";"INPC - Variação mensal";"0,13";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"janeiro 2026";"INPC - Variação mensal";"-1,32";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"fevereiro 2026";"INPC - Variação mensal";"-1,61";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"março 2026";"INPC - Variação mensal";"-0,29";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"abril 2026";"INPC - Variação mensal";"-3,45";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"maio 2026";"INPC - Variação mensal";"-1,71";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"junho 2026";"INPC - Variação mensal";"-4,15";"%"
"1114022.Café moído";"RM";"3501";"São Paulo (SP)";"julho 2026";"INPC - Variação mensal";"-3,40";"%"
"1114023.Café solúvel";"BR";"1";"Brasil";"janeiro 2020";"INPC - Variação mensal";"1,40";"%"
