"Tabela 7063 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Geral, grupo, subgrupo, item e subitem";"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Variável";""
"Índice geral";"BR";"1";"Brasil";"março 2025";"INPC - Variação mensal";"0,51";"%"
"Índice geral";"BR";"1";"Brasil";"abril 2025";"INPC - Variação mensal";"0,48";"%"
"Índice geral";"BR";"1";"Brasil";"maio 2025";"INPC - Variação mensal";"0,35";"%"
"Índice geral";"BR";"1";"Brasil";"junho 2025";"INPC - Variação mensal";"0,23";"%"
"Índice geral";"BR";"1";"Brasil";"julho 2025";"INPC - Variação mensal";"0,21";"%"
"Índice geral";"BR";"1";"Brasil";"agosto 2025";"INPC - Variação mensal";"-0,21";"%"
"Índice geral";"BR";"1";"Brasil";"setembro 2025";"INPC - Variação mensal";"0,52";"%"
"Índice geral";"BR";"1";"Brasil";"outubro 2025";"INPC - Variação mensal";"0,03";"%"
"Índice geral";"BR";"1";"Brasil";"novembro 2025";"INPC - Variação mensal";"0,03";"%"
"Índice geral";"BR";"1";"Brasil";"dezembro 2025";"INPC - Variação mensal";"0,21";"%"
"Índice geral";"BR";"1";"Brasil";"janeiro 2026";"INPC - Variação mensal";"0,39";"%"
"Índice geral";"BR";"1";"Brasil";"fevereiro 2026";"INPC - Variação mensal";"0,56";"%"
"Índice geral";"BR";"1";"Brasil";"março 2026";"INPC - Variação mensal";"0,91";"%"
"Índice geral";"BR";"1";"Brasil";"abril 2026";"INPC - Variação mensal";"0,81";"%"
"Índice geral";"BR";"1";"Brasil";"maio 2026";"INPC - Variação mensal";"0,65";"%"
"Índice geral";"BR";"1";"Brasil";"junho 2026";"INPC - Variação mensal";"0,14";"%"
"Índice geral";"BR";"1";"Brasil";"julho 2026";"INPC - Variação mensal";"-0,01";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"janeiro 2020";"INPC - Variação mensal";"0,25";"%"
