"Tabela 1100 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável";""
"BR";"1";"Brasil";"janeiro 2012";"1106012.Laranja - lima";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106015.Limão";"INPC - Variação mensal";"-12,81";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106017.Maçã";"INPC - Variação mensal";"2,60";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106018.Mamão";"INPC - Variação mensal";"-2,97";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106019.Manga";"INPC - Variação mensal";"-1,81";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106020.Maracujá";"INPC - Variação mensal";"-16,29";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106021.Melancia";"INPC - Variação mensal";"-1,14";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106023.Pera";"INPC - Variação mensal";"1,90";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106027.Tangerina";"INPC - Variação mensal";"2,12";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106028.Uva";"INPC - Variação mensal";"-5,59";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106039.Laranja - pera";"INPC - Variação mensal";"3,64";"%"
"BR";"1";"Brasil";"janeiro 2012";"1106084.Goiaba";"INPC - Variação mensal";"-5,01";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107.Carnes";"INPC - Variação mensal";"-0,84";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107009.Fígado";"INPC - Variação mensal";"-0,86";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107011.Mocotó de boi";"INPC - Variação mensal";"-6,12";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107018.Carne de porco";"INPC - Variação mensal";"-0,68";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107031.Carne de carneiro";"INPC - Variação mensal";"7,33";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107081.Cupim";"INPC - Variação mensal";"-3,11";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107084.Contrafilé";"INPC - Variação mensal";"1,66";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107085.Filé-mignon";"INPC - Variação mensal";"-5,95";"%"
"BR";"1";"Brasil";"janeiro 2012";"1107087.Chã de dentro";"INPC - Variação mensal";"-1,63";"%"
