"Tabela 1100 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável";""
"BR";"1";"Brasil";"julho 2012";"4101009.Camisa/camiseta masculina";"INPC - Variação mensal";"-0,36";"%"
"BR";"1";"Brasil";"julho 2012";"4102.Roupa feminina";"INPC - Variação mensal";"-0,35";"%"
"BR";"1";"Brasil";"julho 2012";"4102002.Calça comprida feminina";"INPC - Variação mensal";"-0,49";"%"
"BR";"1";"Brasil";"julho 2012";"4102003.Agasalho feminino";"INPC - Variação mensal";"-3,01";"%"
"BR";"1";"Brasil";"julho 2012";"4102004.Saia";"INPC - Variação mensal";"1,35";"%"
"BR";"1";"Brasil";"julho 2012";"4102005.Vestido";"INPC - Variação mensal";"-1,39";"%"
"BR";"1";"Brasil";"julho 2012";"4102008.Blusa";"INPC - Variação mensal";"-0,03";"%"
"BR";"1";"Brasil";"julho 2012";"4102010.Lingerie";"INPC - Variação mensal";"-0,35";"%"
"BR";"1";"Brasil";"julho 2012";"4102011.Roupa de dormir feminina";"INPC - Variação mensal";"2,46";"%"
"BR";"1";"Brasil";"julho 2012";"4102013.Bermuda e short feminino";"INPC - Variação mensal";"1,21";"%"
"BR";"1";"Brasil";"julho 2012";"4103.Roupa infantil";"INPC - Variação mensal";"-0,31";"%"
"BR";"1";"Brasil";"julho 2012";"4103001.Uniforme escolar";"INPC - Variação mensal";"0,61";"%"
"BR";"1";"Brasil";"julho 2012";"4103002.Calça comprida infantil";"INPC - Variação mensal";"-0,57";"%"
"BR";"1";"Brasil";"julho 2012";"4103005.Agasalho infantil";"INPC - Variação mensal";"-2,18";"%"
"BR";"1";"Brasil";"julho 2012";"4103007.Vestido infantil";"INPC - Variação mensal";"0,51";"%"
"BR";"1";"Brasil";"julho 2012";"4103008.Bermuda e short infantil";"INPC - Variação mensal";"-0,07";"%"
"BR";"1";"Brasil";"julho 2012";"4103011.Camisa/camiseta infantil";"INPC - Variação mensal";"-0,37";"%"
"BR";"1";"Brasil";"julho 2012";"4103031.Conjunto infantil";"INPC - Variação mensal";"0,32";"%"
"BR";"1";"Brasil";"julho 2012";"42.Calçados e acessórios";"INPC - Variação mensal";"0,76";"%"
"BR";"1";"Brasil";"julho 2012";"4201.Calçados e acessórios";"INPC - Variação mensal";"0,76";"%"
"BR";"1";"Brasil";"julho 2012";"4201002.Sapato masculino";"INPC - Variação mensal";"0,79";"%"
"BR";"1";"Brasil";"julho 2012";"4201003.Sapato feminino";"INPC - Variação mensal";"1,37";"%"
"BR";"1";"Brasil";"julho 2012";"4201004.Sapato infantil";"INPC - Variação mensal";"0,29";"%"
"BR";"1";"Brasil";"julho 2012";"4201006.Sandália / chinelo masculino";"INPC - Variação mensal";"-0,47";"%"
"BR";"1";"Brasil";"julho 2012";"4201007.Sandália / chinelo feminino";"INPC - Variação mensal";"-0,44";"%"
"BR";"1";"Brasil";"julho 2012";"4201008.Sandália / chinelo infantil";"INPC - Variação mensal";"1,14";"%"
"BR";"1";"Brasil";"julho 2012";"4201015.Bolsa";"INPC - Variação mensal";"-0,22";"%"
"BR";"1";"Brasil";"julho 2012";"4201063.Tênis";"INPC - Variação mensal";"1,46";"%"
"BR";"1";"Brasil";"julho 2012";"43.Joias e bijuterias";"INPC - Variação mensal";"0,45";"%"
"BR";"1";"Brasil";"julho 2012";"4301.Joias e bijuterias";"INPC - Variação mensal";"0,45";"%"
"BR";"1";"Brasil";"julho 2012";"4301001.Bijuteria";"INPC - Variação mensal";"-0,25";"%"
"BR";"1";"Brasil";"julho 2012";"4301002.Joia";"INPC - Variação mensal";"1,44";"%"
"BR";"1";"Brasil";"julho 2012";"4301004.Relógio de pulso";"INPC - Variação mensal";"1,30";"%"
"BR";"1";"Brasil";"julho 2012";"44.Tecidos e armarinho";"INPC - Variação mensal";"-0,23";"%"
"BR";"1";"Brasil";"julho 2012";"4401.Tecidos e armarinho";"INPC - Variação mensal";"-0,23";"%"
"BR";"1";"Brasil";"julho 2012";"4401001.Tecido";"INPC - Variação mensal";"0,24";"%"
"BR";"1";"Brasil";"julho 2012";"4401002.Artigos de armarinho";"INPC - Variação mensal";"-0,88";"%"
"BR";"1";"Brasil";"julho 2012";"4401005.Acortinado (mosquiteiro)";"INPC - Variação mensal";"-0,69";"%"
"BR";"1";"Brasil";"julho 2012";"5.Transportes";"INPC - Variação mensal";"0,06";"%"
"BR";"1";"Brasil";"julho 2012";"51.Transportes";"INPC - Variação mensal";"0,06";"%"
"BR";"1";"Brasil";"julho 2012";"5101.Transporte público";"INPC - Variação mensal";"0,62";"%"
"BR";"1";"Brasil";"julho 2012";"5101001.Ônibus urbano";"INPC - Variação mensal";"0,24";"%"
"BR";"1";"Brasil";"julho 2012";"5101002.Táxi";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"5101004.Trem";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"5101006.Ônibus intermunicipal";"INPC - Variação mensal";"0,73";"%"
"BR";"1";"Brasil";"julho 2012";"5101007.Ônibus interestadual";"INPC - Variação mensal";"4,93";"%"
"BR";"1";"Brasil";"julho 2012";"5101010.Passagem aérea";"INPC - Variação mensal";"4,37";"%"
"BR";"1";"Brasil";"julho 2012";"5101011.Metrô";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"5101022.Transporte hidroviário";"INPC - Variação mensal";"21,26";"%"
"BR";"1";"Brasil";"julho 2012";"5101026.Transporte escolar";"INPC - Variação mensal";"-0,11";"%"
"BR";"1";"Brasil";"julho 2012";"5102.Veículo próprio";"INPC - Variação mensal";"-0,19";"%"
"BR";"1";"Brasil";"julho 2012";"5102001.Automóvel novo";"INPC - Variação mensal";"-0,05";"%"
"BR";"1";"Brasil";"julho 2012";"5102004.Emplacamento e licença";"INPC - Variação mensal";"0,10";"%"
"BR";"1";"Brasil";"julho 2012";"5102005.Seguro voluntário de veículo";"INPC - Variação mensal";"-0,63";"%"
"BR";"1";"Brasil";"julho 2012";"5102006.Multa";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"5102007.Óleo lubrificante";"INPC - Variação mensal";"1,15";"%"
"BR";"1";"Brasil";"julho 2012";"5102009.Acessórios e peças";"INPC - Variação mensal";"0,56";"%"
"BR";"1";"Brasil";"julho 2012";"5102010.Pneu";"INPC - Variação mensal";"0,29";"%"
"BR";"1";"Brasil";"julho 2012";"5102011.Conserto de automóvel";"INPC - Variação mensal";"0,51";"%"
"BR";"1";"Brasil";"julho 2012";"5102015.Pedágio";"INPC - Variação mensal";"1,41";"%"
"BR";"1";"Brasil";"julho 2012";"5102019.Lubrificação e lavagem";"INPC - Variação mensal";"-2,05";"%"
"BR";"1";"Brasil";"julho 2012";"5102020.Automóvel usado";"INPC - Variação mensal";"-1,15";"%"
"BR";"1";"Brasil";"julho 2012";"5102037.Pintura de veículo";"INPC - Variação mensal";"-2,28";"%"
"BR";"1";"Brasil";"julho 2012";"5102053.Motocicleta";"INPC - Variação mensal";"-0,30";"%"
"BR";"1";"Brasil";"julho 2012";"5104.Combustíveis (veículos)";"INPC - Variação mensal";"-0,70";"%"
"BR";"1";"Brasil";"julho 2012";"5104001.Gasolina";"INPC - Variação mensal";"-0,52";"%"
"BR";"1";"Brasil";"julho 2012";"5104002.Etanol";"INPC - Variação mensal";"-2,00";"%"
"BR";"1";"Brasil";"julho 2012";"5104003.Óleo diesel";"INPC - Variação mensal";"1,19";"%"
"BR";"1";"Brasil";"julho 2012";"5104005.Gás veicular";"INPC - Variação mensal";"0,01";"%"
"BR";"1";"Brasil";"julho 2012";"6.Saúde e cuidados pessoais";"INPC - Variação mensal";"0,25";"%"
"BR";"1";"Brasil";"julho 2012";"61.Produtos farmacêuticos e óticos";"INPC - Variação mensal";"0,24";"%"
"BR";"1";"Brasil";"julho 2012";"6101.Produtos farmacêuticos";"INPC - Variação mensal";"0,21";"%"
"BR";"1";"Brasil";"julho 2012";"6101001.Anti-infeccioso e antibiótico";"INPC - Variação mensal";"0,14";"%"
"BR";"1";"Brasil";"julho 2012";"6101002.Analgésico e antitérmico";"INPC - Variação mensal";"0,49";"%"
"BR";"1";"Brasil";"julho 2012";"6101003.Anti-inflamatório e antirreumático";"INPC - Variação mensal";"0,96";"%"
"BR";"1";"Brasil";"julho 2012";"6101004.Antigripal e antitussígeno";"INPC - Variação mensal";"-0,17";"%"
"BR";"1";"Brasil";"julho 2012";"6101006.Dermatológico";"INPC - Variação mensal";"-0,11";"%"
"BR";"1";"Brasil";"julho 2012";"6101007.Antialérgico e broncodilatador";"INPC - Variação mensal";"0,34";"%"
"BR";"1";"Brasil";"julho 2012";"6101009.Gastroprotetor";"INPC - Variação mensal";"-0,24";"%"
"BR";"1";"Brasil";"julho 2012";"6101010.Vitamina e fortificante";"INPC - Variação mensal";"0,05";"%"
"BR";"1";"Brasil";"julho 2012";"6101011.Hormônio";"INPC - Variação mensal";"-0,15";"%"
"BR";"1";"Brasil";"julho 2012";"6101013.Psicotrópico e anorexígeno";"INPC - Variação mensal";"0,33";"%"
"BR";"1";"Brasil";"julho 2012";"6101014.Hipotensor e hipocolesterolêmico";"INPC - Variação mensal";"0,05";"%"
"BR";"1";"Brasil";"julho 2012";"6101051.Oftalmológico";"INPC - Variação mensal";"-0,45";"%"
"BR";"1";"Brasil";"julho 2012";"6102.Produtos óticos";"INPC - Variação mensal";"0,58";"%"
"BR";"1";"Brasil";"julho 2012";"6102002.Armação de óculos";"INPC - Variação mensal";"0,01";"%"
"BR";"1";"Brasil";"julho 2012";"6102003.Óculos sem grau";"INPC - Variação mensal";"1,03";"%"
"BR";"1";"Brasil";"julho 2012";"6102011.Lentes de óculos e de contato";"INPC - Variação mensal";"0,46";"%"
"BR";"1";"Brasil";"julho 2012";"62.Serviços de saúde";"INPC - Variação mensal";"0,54";"%"
"BR";"1";"Brasil";"julho 2012";"6201.Serviços médicos e dentários";"INPC - Variação mensal";"0,44";"%"
"BR";"1";"Brasil";"julho 2012";"6201002.Médico";"INPC - Variação mensal";"0,59";"%"
"BR";"1";"Brasil";"julho 2012";"6201003.Dentista";"INPC - Variação mensal";"0,31";"%"
"BR";"1";"Brasil";"julho 2012";"6201005.Aparelho ortodôntico";"INPC - Variação mensal";"-0,03";"%"
"BR";"1";"Brasil";"julho 2012";"6202.Serviços laboratoriais e hospitalares";"INPC - Variação mensal";"0,40";"%"
"BR";"1";"Brasil";"julho 2012";"6202003.Exame de laboratório";"INPC - Variação mensal";"0,58";"%"
"BR";"1";"Brasil";"julho 2012";"6202004.Hospitalização e cirurgia";"INPC - Variação mensal";"0,34";"%"
"BR";"1";"Brasil";"julho 2012";"6202006.Exame de imagem";"INPC - Variação mensal";"0,28";"%"
"BR";"1";"Brasil";"julho 2012";"6203.Plano de saúde";"INPC - Variação mensal";"0,63";"%"
"BR";"1";"Brasil";"julho 2012";"6203001.Plano de saúde";"INPC - Variação mensal";"0,63";"%"
"BR";"1";"Brasil";"julho 2012";"63.Cuidados pessoais";"INPC - Variação mensal";"0,06";"%"
"BR";"1";"Brasil";"julho 2012";"6301.Higiene pessoal";"INPC - Variação mensal";"0,06";"%"
"BR";"1";"Brasil";"julho 2012";"6301001.Produto para cabelo";"INPC - Variação mensal";"0,46";"%"
"BR";"1";"Brasil";"julho 2012";"6301002.Fralda descartável";"INPC - Variação mensal";"0,02";"%"
"BR";"1";"Brasil";"julho 2012";"6301004.Produto para barba";"INPC - Variação mensal";"0,77";"%"
"BR";"1";"Brasil";"julho 2012";"6301006.Produto para pele";"INPC - Variação mensal";"0,90";"%"
"BR";"1";"Brasil";"julho 2012";"6301007.Produto para higiene bucal";"INPC - Variação mensal";"0,43";"%"
"BR";"1";"Brasil";"julho 2012";"6301010.Produto para unha";"INPC - Variação mensal";"0,50";"%"
"BR";"1";"Brasil";"julho 2012";"6301011.Perfume";"INPC - Variação mensal";"-0,66";"%"
"BR";"1";"Brasil";"julho 2012";"6301014.Desodorante";"INPC - Variação mensal";"-0,11";"%"
"BR";"1";"Brasil";"julho 2012";"6301015.Absorvente higiênico";"INPC - Variação mensal";"-0,15";"%"
"BR";"1";"Brasil";"julho 2012";"6301016.Sabonete";"INPC - Variação mensal";"0,02";"%"
"BR";"1";"Brasil";"julho 2012";"6301017.Papel higiênico";"INPC - Variação mensal";"0,79";"%"
"BR";"1";"Brasil";"julho 2012";"6301020.Artigos de maquiagem";"INPC - Variação mensal";"1,94";"%"
"BR";"1";"Brasil";"julho 2012";"7.Despesas pessoais";"INPC - Variação mensal";"0,58";"%"
"BR";"1";"Brasil";"julho 2012";"71.Serviços pessoais";"INPC - Variação mensal";"0,74";"%"
"BR";"1";"Brasil";"julho 2012";"7101.Serviços pessoais";"INPC - Variação mensal";"0,74";"%"
"BR";"1";"Brasil";"julho 2012";"7101001.Costureira";"INPC - Variação mensal";"0,21";"%"
"BR";"1";"Brasil";"julho 2012";"7101005.Manicure";"INPC - Variação mensal";"1,22";"%"
"BR";"1";"Brasil";"julho 2012";"7101009.Cabeleireiro";"INPC - Variação mensal";"0,36";"%"
"BR";"1";"Brasil";"julho 2012";"7101010.Empregado doméstico";"INPC - Variação mensal";"1,17";"%"
"BR";"1";"Brasil";"julho 2012";"7101014.Depilação";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"julho 2012";"7101034.Cartório";"INPC - Variação mensal";"0,05";"%"
"BR";"1";"Brasil";"julho 2012";"7101036.Despachante";"INPC - Variação mensal";"-1,05";"%"
"BR";"1";"Brasil";"julho 2012";"7101076.Serviço bancário";"INPC - Variação mensal";"0,84";"%"
"BR";"1";"Brasil";"julho 2012";"72.Recreação, fumo e fotografia";"INPC - Variação mensal";"0,42";"%"
"BR";"1";"Brasil";"julho 2012";"7201.Recreação";"INPC - Variação mensal";"0,64";"%"
"BR";"1";"Brasil";"julho 2012";"7201001.Cinema";"INPC - Variação mensal";"1,61";"%"
"BR";"1";"Brasil";"julho 2012";"7201002.CD e DVD";"INPC - Variação mensal";"1,30";"%"
"BR";"1";"Brasil";"julho 2012";"7201003.Ingresso para jogo";"INPC - Variação mensal";"1,67";"%"
"BR";"1";"Brasil";"julho 2012";"7201006.Clube";"INPC - Variação mensal";"-0,37";"%"
"BR";"1";"Brasil";"julho 2012";"7201010.Instrumento musical";"INPC - Variação mensal";"3,37";"%"
"BR";"1";"Brasil";"julho 2012";"7201018.Tratamento de animais";"INPC - Variação mensal";"0,93";"%"
"BR";"1";"Brasil";"julho 2012";"7201019.Bicicleta";"INPC - Variação mensal";"0,66";"%"
"BR";"1";"Brasil";"julho 2012";"7201020.Alimento para animais";"INPC - Variação mensal";"0,51";"%"
"BR";"1";"Brasil";"julho 2012";"7201023.Brinquedo";"INPC - Variação mensal";"0,53";"%"
"BR";"1";"Brasil";"julho 2012";"7201052.Locação de DVD";"INPC - Variação mensal";"0,06";"%"
"BR";"1";"Brasil";"julho 2012";"7201054.Boate e danceteria";"INPC - Variação mensal";"-0,10";"%"
"BR";"1";"Brasil";"julho 2012";"7201063.Jogos de azar";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"7201068.Motel";"INPC - Variação mensal";"1,16";"%"
"BR";"1";"Brasil";"julho 2012";"7201090.Hotel";"INPC - Variação mensal";"3,66";"%"
"BR";"1";"Brasil";"julho 2012";"7201095.Excursão";"INPC - Variação mensal";"2,90";"%"
"BR";"1";"Brasil";"julho 2012";"7202.Fumo";"INPC - Variação mensal";"0,08";"%"
"BR";"1";"Brasil";"julho 2012";"7202041.Cigarro";"INPC - Variação mensal";"0,08";"%"
"BR";"1";"Brasil";"julho 2012";"7203.Fotografia e filmagem";"INPC - Variação mensal";"0,23";"%"
"BR";"1";"Brasil";"julho 2012";"7203001.Máquina fotográfica";"INPC - Variação mensal";"0,29";"%"
"BR";"1";"Brasil";"julho 2012";"7203003.Revelação e cópia";"INPC - Variação mensal";"-0,12";"%"
"BR";"1";"Brasil";"julho 2012";"7203004.Filmadora";"INPC - Variação mensal";"2,26";"%"
"BR";"1";"Brasil";"julho 2012";"8.Educação";"INPC - Variação mensal";"0,18";"%"
"BR";"1";"Brasil";"julho 2012";"81.Cursos, leitura e papelaria";"INPC - Variação mensal";"0,18";"%"
"BR";"1";"Brasil";"julho 2012";"8101.Cursos regulares";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8101001.Creche";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8101002.Educação infantil";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8101003.Ensino fundamental";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8101004.Ensino médio";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8101005.Ensino superior";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8101006.Pós-graduação";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8102.Leitura";"INPC - Variação mensal";"0,75";"%"
"BR";"1";"Brasil";"julho 2012";"8102001.Jornal diário";"INPC - Variação mensal";"0,73";"%"
"BR";"1";"Brasil";"julho 2012";"8102004.Revista";"INPC - Variação mensal";"1,00";"%"
"BR";"1";"Brasil";"julho 2012";"8102005.Livro";"INPC - Variação mensal";"0,20";"%"
"BR";"1";"Brasil";"julho 2012";"8103.Papelaria";"INPC - Variação mensal";"0,54";"%"
"BR";"1";"Brasil";"julho 2012";"8103001.Caderno";"INPC - Variação mensal";"0,32";"%"
"BR";"1";"Brasil";"julho 2012";"8103002.Fotocópia";"INPC - Variação mensal";"0,03";"%"
"BR";"1";"Brasil";"julho 2012";"8103014.Artigos de papelaria";"INPC - Variação mensal";"0,81";"%"
"BR";"1";"Brasil";"julho 2012";"8104.Cursos diversos";"INPC - Variação mensal";"0,07";"%"
"BR";"1";"Brasil";"julho 2012";"8104001.Curso preparatório";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8104002.Curso técnico";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8104003.Curso de idioma";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8104004.Curso de informática";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"8104005.Autoescola";"INPC - Variação mensal";"1,04";"%"
"BR";"1";"Brasil";"julho 2012";"8104006.Atividades físicas";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"9.Comunicação";"INPC - Variação mensal";"0,10";"%"
"BR";"1";"Brasil";"julho 2012";"91.Comunicação";"INPC - Variação mensal";"0,10";"%"
"BR";"1";"Brasil";"julho 2012";"9101.Comunicação";"INPC - Variação mensal";"0,10";"%"
"BR";"1";"Brasil";"julho 2012";"9101002.Telefone fixo";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"9101003.Telefone público";"INPC - Variação mensal";"0,79";"%"
"BR";"1";"Brasil";"julho 2012";"9101008.Telefone celular";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"9101018.Acesso à internet";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"julho 2012";"9101019.Aparelho telefônico";"INPC - Variação mensal";"-0,55";"%"
"BR";"1";"Brasil";"julho 2012";"9101021.Telefone com internet - pacote";"INPC - Variação mensal";"1,02";"%"
"BR";"1";"Brasil";"julho 2012";"9101022.TV por assinatura com internet";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"agosto 2012";"Índice geral";"INPC - Variação mensal";"0,45";"%"
"BR";"1";"Brasil";"agosto 2012";"1.Alimentação e bebidas";"INPC - Variação mensal";"0,89";"%"
"BR";"1";"Brasil";"agosto 2012";"11.Alimentação no domicílio";"INPC - Variação mensal";"0,90";"%"
"BR";"1";"Brasil";"agosto 2012";"1101.Cereais, leguminosas e oleaginosas";"INPC - Variação mensal";"-2,21";"%"
"BR";"1";"Brasil";"agosto 2012";"1101002.Arroz";"INPC - Variação mensal";"1,73";"%"
"BR";"1";"Brasil";"agosto 2012";"1101051.Feijão - mulatinho";"INPC - Variação mensal";"-4,60";"%"
"BR";"1";"Brasil";"agosto 2012";"1101052.Feijão - preto";"INPC - Variação mensal";"-0,02";"%"
"BR";"1";"Brasil";"agosto 2012";"1101053.Feijão - macassar (fradinho)";"INPC - Variação mensal";"-4,75";"%"
"BR";"1";"Brasil";"agosto 2012";"1101073.Feijão - carioca (rajado)";"INPC - Variação mensal";"-9,36";"%"
"BR";"1";"Brasil";"agosto 2012";"1101075.Feijão - branco";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"agosto 2012";"1101079.Milho em grão";"INPC - Variação mensal";"0,15";"%"
"BR";"1";"Brasil";"agosto 2012";"1102.Farinhas, féculas e massas";"INPC - Variação mensal";"0,84";"%"
"BR";"1";"Brasil";"agosto 2012";"1102001.Farinha de arroz";"INPC - Variação mensal";"0,70";"%"
"BR";"1";"Brasil";"agosto 2012";"1102006.Macarrão";"INPC - Variação mensal";"1,09";"%"
"BR";"1";"Brasil";"agosto 2012";"1102008.Fubá de milho";"INPC - Variação mensal";"-1,10";"%"
"BR";"1";"Brasil";"agosto 2012";"1102009.Amido de milho";"INPC - Variação mensal";"3,83";"%"
"BR";"1";"Brasil";"agosto 2012";"1102010.Flocos de milho";"INPC - Variação mensal";"5,06";"%"
"BR";"1";"Brasil";"agosto 2012";"1102012.Farinha de trigo";"INPC - Variação mensal";"0,73";"%"
"BR";"1";"Brasil";"agosto 2012";"1102013.Farinha vitaminada";"INPC - Variação mensal";"1,94";"%"
"BR";"1";"Brasil";"agosto 2012";"1102023.Farinha de mandioca";"INPC - Variação mensal";"0,42";"%"
"BR";"1";"Brasil";"agosto 2012";"1102029.Massa semipreparada";"INPC - Variação mensal";"1,14";"%"
"BR";"1";"Brasil";"agosto 2012";"1103.Tubérculos, raízes e legumes";"INPC - Variação mensal";"10,80";"%"
"BR";"1";"Brasil";"agosto 2012";"1103003.Batata-inglesa";"INPC - Variação mensal";"5,05";"%"
"BR";"1";"Brasil";"agosto 2012";"1103004.Inhame";"INPC - Variação mensal";"2,10";"%"
"BR";"1";"Brasil";"agosto 2012";"1103005.Mandioca (aipim)";"INPC - Variação mensal";"2,93";"%"
"BR";"1";"Brasil";"agosto 2012";"1103017.Abóbora";"INPC - Variação mensal";"6,05";"%"
"BR";"1";"Brasil";"agosto 2012";"1103026.Pimentão";"INPC - Variação mensal";"51,89";"%"
"BR";"1";"Brasil";"agosto 2012";"1103028.Tomate";"INPC - Variação mensal";"18,70";"%"
"BR";"1";"Brasil";"agosto 2012";"1103043.Cebola";"INPC - Variação mensal";"-1,55";"%"
"BR";"1";"Brasil";"agosto 2012";"1103044.Cenoura";"INPC - Variação mensal";"13,42";"%"
"BR";"1";"Brasil";"agosto 2012";"1103046.Mandioquinha (batata-baroa)";"INPC - Variação mensal";"-6,53";"%"
"BR";"1";"Brasil";"agosto 2012";"1104.Açúcares e derivados";"INPC - Variação mensal";"0,51";"%"
"BR";"1";"Brasil";"agosto 2012";"1104003.Açúcar refinado";"INPC - Variação mensal";"0,56";"%"
"BR";"1";"Brasil";"agosto 2012";"1104004.Açúcar cristal";"INPC - Variação mensal";"0,68";"%"
"BR";"1";"Brasil";"agosto 2012";"1104018.Balas";"INPC - Variação mensal";"-0,69";"%"
"BR";"1";"Brasil";"agosto 2012";"1104023.Chocolate em barra e bombom";"INPC - Variação mensal";"-0,63";"%"
"BR";"1";"Brasil";"agosto 2012";"1104032.Sorvete";"INPC - Variação mensal";"0,53";"%"
"BR";"1";"Brasil";"agosto 2012";"1104052.Chocolate e achocolatado em pó";"INPC - Variação mensal";"0,60";"%"
"BR";"1";"Brasil";"agosto 2012";"1105.Hortaliças e verduras";"INPC - Variação mensal";"-3,80";"%"
"BR";"1";"Brasil";"agosto 2012";"1105001.Alface";"INPC - Variação mensal";"-5,36";"%"
"BR";"1";"Brasil";"agosto 2012";"1105004.Coentro";"INPC - Variação mensal";"-0,87";"%"
"BR";"1";"Brasil";"agosto 2012";"1105005.Couve";"INPC - Variação mensal";"-6,47";"%"
"BR";"1";"Brasil";"agosto 2012";"1105006.Couve-flor";"INPC - Variação mensal";"4,35";"%"
"BR";"1";"Brasil";"agosto 2012";"1105010.Repolho";"INPC - Variação mensal";"-1,32";"%"
"BR";"1";"Brasil";"agosto 2012";"1105012.Cheiro-verde";"INPC - Variação mensal";"-2,26";"%"
"BR";"1";"Brasil";"agosto 2012";"1105013.Agrião";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"agosto 2012";"1105019.Brócolis";"INPC - Variação mensal";"-2,06";"%"
"BR";"1";"Brasil";"agosto 2012";"1106.Frutas";"INPC - Variação mensal";"-0,31";"%"
"BR";"1";"Brasil";"agosto 2012";"1106001.Banana-da-terra";"INPC - Variação mensal";"-2,24";"%"
"BR";"1";"Brasil";"agosto 2012";"1106003.Abacaxi";"INPC - Variação mensal";"3,47";"%"
"BR";"1";"Brasil";"agosto 2012";"1106005.Banana - d'água";"INPC - Variação mensal";"-3,69";"%"
"BR";"1";"Brasil";"agosto 2012";"1106006.Banana - maçã";"INPC - Variação mensal";"-1,16";"%"
"BR";"1";"Brasil";"agosto 2012";"1106008.Banana - prata";"INPC - Variação mensal";"1,79";"%"
"BR";"1";"Brasil";"agosto 2012";"1106012.Laranja - lima";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"agosto 2012";"1106015.Limão";"INPC - Variação mensal";"21,19";"%"
"BR";"1";"Brasil";"agosto 2012";"1106017.Maçã";"INPC - Variação mensal";"1,72";"%"
"BR";"1";"Brasil";"agosto 2012";"1106018.Mamão";"INPC - Variação mensal";"-2,09";"%"
"BR";"1";"Brasil";"agosto 2012";"1106019.Manga";"INPC - Variação mensal";"-7,91";"%"
"BR";"1";"Brasil";"agosto 2012";"1106020.Maracujá";"INPC - Variação mensal";"-13,48";"%"
"BR";"1";"Brasil";"agosto 2012";"1106021.Melancia";"INPC - Variação mensal";"0,37";"%"
"BR";"1";"Brasil";"agosto 2012";"1106023.Pera";"INPC - Variação mensal";"4,49";"%"
"BR";"1";"Brasil";"agosto 2012";"1106027.Tangerina";"INPC - Variação mensal";"33,57";"%"
"BR";"1";"Brasil";"agosto 2012";"1106028.Uva";"INPC - Variação mensal";"0,55";"%"
"BR";"1";"Brasil";"agosto 2012";"1106039.Laranja - pera";"INPC - Variação mensal";"-3,82";"%"
"BR";"1";"Brasil";"agosto 2012";"1106084.Goiaba";"INPC - Variação mensal";"5,55";"%"
"BR";"1";"Brasil";"agosto 2012";"1107.Carnes";"INPC - Variação mensal";"0,53";"%"
"BR";"1";"Brasil";"agosto 2012";"1107009.Fígado";"INPC - Variação mensal";"-1,10";"%"
"BR";"1";"Brasil";"agosto 2012";"1107011.Mocotó de boi";"INPC - Variação mensal";"4,36";"%"
"BR";"1";"Brasil";"agosto 2012";"1107018.Carne de porco";"INPC - Variação mensal";"2,95";"%"
"BR";"1";"Brasil";"agosto 2012";"1107031.Carne de carneiro";"INPC - Variação mensal";"-9,43";"%"
"BR";"1";"Brasil";"agosto 2012";"1107081.Cupim";"INPC - Variação mensal";"8,18";"%"
"BR";"1";"Brasil";"agosto 2012";"1107084.Contrafilé";"INPC - Variação mensal";"1,40";"%"
